year,region,sport,sport category,medal
1998,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,Gold
2002,Estonia,Cross Country Skiing,Skiing Events,Silver
2002,Estonia,Cross Country Skiing,Skiing Events,
2006,Estonia,Cross Country Skiing,Skiing Events,Gold
2006,Estonia,Cross Country Skiing,Skiing Events,
2010,Estonia,Cross Country Skiing,Skiing Events,
2012,Latvia,Cycling,Cycling,
1984,Latvia,Luge,Sliding,
1992,Latvia,Cycling,Cycling,
1912,Russia,Shooting,Target Sports,
1912,Russia,Shooting,Target Sports,
1912,Russia,Shooting,Target Sports,
1912,Russia,Shooting,Target Sports,
1928,Estonia,Sailing,Water Sports,Bronze
2004,Russia,Modern Pentathlon,Multi-Discipline,
1992,Russia,Fencing,Miscellaneous,
1992,Russia,Fencing,Miscellaneous,
1996,Russia,Fencing,Miscellaneous,
1996,Russia,Fencing,Miscellaneous,
2010,Kazakhstan,Cross Country Skiing,Skiing Events,
2010,Kazakhstan,Cross Country Skiing,Skiing Events,
2010,Kazakhstan,Cross Country Skiing,Skiing Events,
2010,Kazakhstan,Cross Country Skiing,Skiing Events,
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
2008,Russia,Fencing,Miscellaneous,
2008,Russia,Fencing,Miscellaneous,
2012,Russia,Fencing,Miscellaneous,Silver
2016,Russia,Fencing,Miscellaneous,Silver
2016,Russia,Fencing,Miscellaneous,Gold
1972,Russia,Athletics,Multi-Discipline,
1976,Russia,Athletics,Multi-Discipline,
2000,Kazakhstan,Wrestling,Combat Sports,
1952,Estonia,Athletics,Multi-Discipline,
1988,Lithuania,Cross Country Skiing,Skiing Events,Bronze
1988,Lithuania,Cross Country Skiing,Skiing Events,Gold
1992,Lithuania,Cross Country Skiing,Skiing Events,
1992,Lithuania,Cross Country Skiing,Skiing Events,
1992,Lithuania,Cross Country Skiing,Skiing Events,
1992,Lithuania,Cross Country Skiing,Skiing Events,
1994,Lithuania,Cross Country Skiing,Skiing Events,
1994,Lithuania,Cross Country Skiing,Skiing Events,
1994,Lithuania,Cross Country Skiing,Skiing Events,
2012,Lithuania,Wrestling,Combat Sports,
2016,Lithuania,Wrestling,Combat Sports,
2008,Lithuania,Wrestling,Combat Sports,
2012,Lithuania,Modern Pentathlon,Multi-Discipline,
1964,Ukraine,Volleyball,Team Sports,Gold
1968,Latvia,Athletics,Multi-Discipline,
2010,Ukraine,Figure Skating,Skating,
1956,Russia,Rowing,Paddling Sports,
2004,Russia,Volleyball,Team Sports,Bronze
2008,Russia,Volleyball,Team Sports,Bronze
2016,Russia,Volleyball,Team Sports,
2016,Russia,Golf,Miscellaneous,
1952,Russia,Diving,Aquatics,
1956,Russia,Diving,Aquatics,
2004,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
1976,Ukraine,Football,Team Sports,Bronze
2008,Belarus,Basketball,Team Sports,
2016,Belarus,Basketball,Team Sports,
1996,Uzbekistan,Athletics,Multi-Discipline,
2000,Uzbekistan,Athletics,Multi-Discipline,
2000,Russia,Swimming,Aquatics,
2000,Russia,Swimming,Aquatics,
2000,Russia,Swimming,Aquatics,
2004,Russia,Swimming,Aquatics,
2004,Russia,Swimming,Aquatics,
2012,Kazakhstan,Canoeing,Paddling Sports,
2004,Ukraine,Handball,Team Sports,Bronze
1988,Russia,Judo,Combat Sports,Bronze
2016,Ukraine,Rowing,Paddling Sports,
1996,Russia,Canoeing,Paddling Sports,
1996,Russia,Canoeing,Paddling Sports,Bronze
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2016,Ukraine,Gymnastics,Gymnastics,Silver
2016,Ukraine,Gymnastics,Gymnastics,
2016,Ukraine,Gymnastics,Gymnastics,
2016,Ukraine,Gymnastics,Gymnastics,
2016,Ukraine,Gymnastics,Gymnastics,Gold
2016,Ukraine,Gymnastics,Gymnastics,
2016,Ukraine,Gymnastics,Gymnastics,
2016,Ukraine,Gymnastics,Gymnastics,
2000,Belarus,Athletics,Multi-Discipline,
1956,Russia,Cycling,Cycling,
1956,Russia,Cycling,Cycling,
1996,Ukraine,Athletics,Multi-Discipline,
2000,Ukraine,Athletics,Multi-Discipline,
1992,Russia,Ski Jumping,Skiing Events,
1992,Russia,Ski Jumping,Skiing Events,
1992,Russia,Ski Jumping,Skiing Events,
1994,Kazakhstan,Ski Jumping,Skiing Events,
1994,Kazakhstan,Ski Jumping,Skiing Events,
2002,Russia,Luge,Sliding,
2006,Russia,Luge,Sliding,
2008,Russia,Athletics,Multi-Discipline,Silver
2008,Estonia,Beach Volleyball,Team Sports,
1936,Estonia,Basketball,Team Sports,
2008,Russia,Tennis,Racquet Sports,
2012,Russia,Tennis,Racquet Sports,
2012,Russia,Tennis,Racquet Sports,
2016,Russia,Tennis,Racquet Sports,Gold
1992,Russia,Basketball,Team Sports,
2016,Russia,Volleyball,Team Sports,
2012,Russia,Basketball,Team Sports,
1992,Lithuania,Canoeing,Paddling Sports,
1992,Lithuania,Canoeing,Paddling Sports,
1996,Moldova,Weightlifting,Miscellaneous,
2000,Latvia,Gymnastics,Gymnastics,
2000,Latvia,Gymnastics,Gymnastics,Gold
2000,Latvia,Gymnastics,Gymnastics,
2000,Latvia,Gymnastics,Gymnastics,
2000,Latvia,Gymnastics,Gymnastics,
2000,Latvia,Gymnastics,Gymnastics,
2000,Latvia,Gymnastics,Gymnastics,
2004,Latvia,Gymnastics,Gymnastics,
2004,Latvia,Gymnastics,Gymnastics,
2004,Latvia,Gymnastics,Gymnastics,
2004,Latvia,Gymnastics,Gymnastics,
2004,Latvia,Gymnastics,Gymnastics,
2004,Latvia,Gymnastics,Gymnastics,
2004,Latvia,Gymnastics,Gymnastics,
1936,Estonia,Athletics,Multi-Discipline,
2010,Estonia,Biathlon,Skiing Events,
2010,Estonia,Biathlon,Skiing Events,
1994,Estonia,Biathlon,Skiing Events,
1976,Russia,Athletics,Multi-Discipline,
2006,Estonia,Biathlon,Skiing Events,
2006,Estonia,Biathlon,Skiing Events,
2010,Estonia,Biathlon,Skiing Events,
2010,Estonia,Biathlon,Skiing Events,
2004,Lithuania,Swimming,Aquatics,
2008,Lithuania,Swimming,Aquatics,
1960,Russia,Swimming,Aquatics,
1960,Russia,Swimming,Aquatics,
2008,Russia,Diving,Aquatics,
1968,Russia,Ice Hockey,Skating,Gold
1972,Russia,Ice Hockey,Skating,Gold
1924,Latvia,Wrestling,Combat Sports,
1996,Lithuania,Cycling,Cycling,
2004,Lithuania,Cycling,Cycling,
1988,Latvia,Volleyball,Team Sports,Silver
2002,Russia,Cross Country Skiing,Skiing Events,
2002,Russia,Cross Country Skiing,Skiing Events,
2002,Russia,Cross Country Skiing,Skiing Events,
2014,Latvia,Bobsleigh,Sliding,Silver
1992,Russia,Rowing,Paddling Sports,
1920,Estonia,Athletics,Multi-Discipline,
1920,Estonia,Athletics,Multi-Discipline,
1992,Estonia,Rowing,Paddling Sports,
1924,Lithuania,Cycling,Cycling,
1972,Latvia,Handball,Team Sports,
1992,Lithuania,Athletics,Multi-Discipline,
2014,Russia,Biathlon,Skiing Events,Silver
2014,Russia,Biathlon,Skiing Events,
2014,Russia,Biathlon,Skiing Events,
2014,Russia,Biathlon,Skiing Events,
2014,Russia,Biathlon,Skiing Events,Silver
1936,Latvia,Art Competitions,Miscellaneous,
1928,Lithuania,Boxing,Combat Sports,
2008,Russia,Athletics,Multi-Discipline,
1976,Russia,Canoeing,Paddling Sports,Gold
1976,Russia,Canoeing,Paddling Sports,Gold
1980,Russia,Canoeing,Paddling Sports,
1994,Russia,Ice Hockey,Skating,
2004,Estonia,Rowing,Paddling Sports,
2006,Russia,Snowboarding,Skiing Events,
2000,Russia,Swimming,Aquatics,
2000,Russia,Swimming,Aquatics,
2004,Latvia,Canoeing,Paddling Sports,
2004,Latvia,Canoeing,Paddling Sports,
1996,Kazakhstan,Cycling,Cycling,
2000,Kazakhstan,Cycling,Cycling,Silver
2000,Kazakhstan,Cycling,Cycling,
2004,Kazakhstan,Cycling,Cycling,
2004,Kazakhstan,Cycling,Cycling,
2012,Kazakhstan,Cycling,Cycling,Gold
2012,Kazakhstan,Cycling,Cycling,
1968,Russia,Fencing,Miscellaneous,Gold
1972,Russia,Fencing,Miscellaneous,Silver
1976,Russia,Fencing,Miscellaneous,Gold
1996,Ukraine,Athletics,Multi-Discipline,
2000,Ukraine,Athletics,Multi-Discipline,
2004,Ukraine,Athletics,Multi-Discipline,
2012,Lithuania,Athletics,Multi-Discipline,
2016,Lithuania,Athletics,Multi-Discipline,
1996,Lithuania,Athletics,Multi-Discipline,
1992,Estonia,Rowing,Paddling Sports,
2002,Belarus,Cross Country Skiing,Skiing Events,
2002,Belarus,Cross Country Skiing,Skiing Events,
2002,Belarus,Cross Country Skiing,Skiing Events,
2002,Belarus,Cross Country Skiing,Skiing Events,
2014,Kazakhstan,Biathlon,Skiing Events,
2014,Kazakhstan,Biathlon,Skiing Events,
2014,Kazakhstan,Biathlon,Skiing Events,
2006,Russia,Ice Hockey,Skating,
1912,Russia,Shooting,Target Sports,
1912,Russia,Shooting,Target Sports,
2008,Russia,Canoeing,Paddling Sports,
1980,Lithuania,Canoeing,Paddling Sports,
2012,Russia,Badminton,Racquet Sports,Bronze
2000,Lithuania,Athletics,Multi-Discipline,
2004,Lithuania,Athletics,Multi-Discipline,
1992,Lithuania,Basketball,Team Sports,Bronze
1928,Latvia,Art Competitions,Miscellaneous,
1928,Latvia,Art Competitions,Miscellaneous,
1928,Latvia,Art Competitions,Miscellaneous,
1928,Latvia,Art Competitions,Miscellaneous,
1932,Latvia,Art Competitions,Miscellaneous,
1932,Latvia,Art Competitions,Miscellaneous,
1932,Latvia,Art Competitions,Miscellaneous,
1932,Latvia,Art Competitions,Miscellaneous,
1932,Latvia,Art Competitions,Miscellaneous,
1932,Latvia,Art Competitions,Miscellaneous,
1932,Latvia,Art Competitions,Miscellaneous,
1936,Latvia,Art Competitions,Miscellaneous,
2012,Lithuania,Rowing,Paddling Sports,
2016,Lithuania,Rowing,Paddling Sports,Bronze
2012,Azerbaijan,Boxing,Combat Sports,
1968,Ukraine,Fencing,Miscellaneous,Silver
2002,Latvia,Ice Hockey,Skating,
1936,Latvia,Cycling,Cycling,
1936,Latvia,Cycling,Cycling,
1912,Russia,Athletics,Multi-Discipline,
1936,Latvia,Athletics,Multi-Discipline,
1928,Lithuania,Weightlifting,Miscellaneous,
1996,Ukraine,Rhythmic Gymnastics,Gymnastics,Bronze
2000,Ukraine,Rhythmic Gymnastics,Gymnastics,
2000,Uzbekistan,Wrestling,Combat Sports,
1996,Belarus,Gymnastics,Gymnastics,
1996,Belarus,Gymnastics,Gymnastics,
1996,Belarus,Gymnastics,Gymnastics,
1996,Belarus,Gymnastics,Gymnastics,
1996,Belarus,Gymnastics,Gymnastics,
2000,Kyrgyzstan,Boxing,Combat Sports,
1996,Moldova,Athletics,Multi-Discipline,
2000,Moldova,Athletics,Multi-Discipline,
1994,Latvia,Figure Skating,Skating,
2004,Belarus,Synchronized Swimming,Aquatics,
1956,Russia,Athletics,Multi-Discipline,
1976,Russia,Figure Skating,Skating,
2016,Russia,Shooting,Target Sports,
1952,Russia,Equestrianism,Equestrianism,
1952,Russia,Equestrianism,Equestrianism,
2012,Russia,Wrestling,Combat Sports,Gold
2016,Russia,Wrestling,Combat Sports,Gold
1980,Russia,Shooting,Target Sports,Gold
1952,Russia,Basketball,Team Sports,Silver
1980,Russia,Ski Jumping,Skiing Events,
1980,Russia,Ski Jumping,Skiing Events,
1996,Ukraine,Swimming,Aquatics,
1960,Ukraine,Weightlifting,Miscellaneous,Gold
1964,Ukraine,Weightlifting,Miscellaneous,Silver
1976,Russia,Swimming,Aquatics,
1976,Russia,Swimming,Aquatics,
1976,Russia,Swimming,Aquatics,
1976,Russia,Swimming,Aquatics,
2014,Ukraine,Short Track Speed Skating,Skating,
1992,Russia,Short Track Speed Skating,Skating,
1992,Russia,Short Track Speed Skating,Skating,Bronze
2008,Lithuania,Athletics,Multi-Discipline,
1992,Russia,Ski Jumping,Skiing Events,
1992,Russia,Ski Jumping,Skiing Events,
1992,Russia,Ski Jumping,Skiing Events,
1998,Ukraine,Biathlon,Skiing Events,
1998,Ukraine,Biathlon,Skiing Events,
1998,Ukraine,Biathlon,Skiing Events,
2002,Ukraine,Biathlon,Skiing Events,
2002,Ukraine,Biathlon,Skiing Events,
2002,Ukraine,Biathlon,Skiing Events,
2008,Russia,Boxing,Combat Sports,
2012,Russia,Boxing,Combat Sports,
2004,Russia,Basketball,Team Sports,Bronze
2008,Russia,Basketball,Team Sports,Bronze
2012,Russia,Basketball,Team Sports,
1976,Russia,Figure Skating,Skating,
1984,Russia,Figure Skating,Skating,
1928,Estonia,Sailing,Water Sports,Bronze
2002,Ukraine,Figure Skating,Skating,
2006,Ukraine,Figure Skating,Skating,
1992,Latvia,Judo,Combat Sports,
1988,Kazakhstan,Shooting,Target Sports,
1992,Kazakhstan,Shooting,Target Sports,Bronze
1996,Kazakhstan,Shooting,Target Sports,Bronze
2000,Kazakhstan,Shooting,Target Sports,
1996,Belarus,Rowing,Paddling Sports,Bronze
2006,Russia,Ice Hockey,Skating,
2010,Russia,Ice Hockey,Skating,
1964,Belarus,Gymnastics,Gymnastics,
1964,Belarus,Gymnastics,Gymnastics,Gold
1964,Belarus,Gymnastics,Gymnastics,
1964,Belarus,Gymnastics,Gymnastics,
1964,Belarus,Gymnastics,Gymnastics,
1964,Belarus,Gymnastics,Gymnastics,
2000,Belarus,Tennis,Racquet Sports,
2000,Belarus,Tennis,Racquet Sports,
2004,Belarus,Tennis,Racquet Sports,
2004,Belarus,Tennis,Racquet Sports,
2002,Russia,Figure Skating,Skating,
1988,Russia,Tennis,Racquet Sports,
1988,Russia,Tennis,Racquet Sports,
2008,Russia,Volleyball,Team Sports,Bronze
2012,Russia,Volleyball,Team Sports,Gold
2016,Russia,Volleyball,Team Sports,
1998,Russia,Ski Jumping,Skiing Events,
1998,Russia,Ski Jumping,Skiing Events,
1998,Russia,Ski Jumping,Skiing Events,
2014,Russia,Biathlon,Skiing Events,
2014,Russia,Biathlon,Skiing Events,Gold
1976,Russia,Boxing,Combat Sports,
2010,Russia,Freestyle Skiing,Skiing Events,
2014,Russia,Freestyle Skiing,Skiing Events,
1988,Russia,Swimming,Aquatics,Bronze
1988,Russia,Swimming,Aquatics,Bronze
1992,Russia,Swimming,Aquatics,
1992,Russia,Swimming,Aquatics,Silver
2016,Russia,Volleyball,Team Sports,
1980,Russia,Athletics,Multi-Discipline,Silver
1964,Russia,Ice Hockey,Skating,Gold
1988,Ukraine,Basketball,Team Sports,Gold
1992,Ukraine,Basketball,Team Sports,
1968,Russia,Figure Skating,Skating,
1976,Russia,Figure Skating,Skating,
2010,Russia,Freestyle Skiing,Skiing Events,
2014,Russia,Freestyle Skiing,Skiing Events,
1980,Russia,Equestrianism,Equestrianism,
1980,Russia,Equestrianism,Equestrianism,Gold
1952,Russia,Athletics,Multi-Discipline,
1972,Ukraine,Athletics,Multi-Discipline,
1998,Russia,Biathlon,Skiing Events,
1960,Russia,Alpine Skiing,Skiing Events,
1960,Russia,Alpine Skiing,Skiing Events,
1960,Russia,Alpine Skiing,Skiing Events,
2006,Ukraine,Freestyle Skiing,Skiing Events,
2010,Ukraine,Freestyle Skiing,Skiing Events,
2008,Russia,Athletics,Multi-Discipline,Bronze
1988,Russia,Volleyball,Team Sports,Gold
1988,Russia,Swimming,Aquatics,
1992,Russia,Swimming,Aquatics,
1992,Russia,Swimming,Aquatics,
1960,Russia,Basketball,Team Sports,Silver
1964,Russia,Basketball,Team Sports,Silver
1968,Russia,Basketball,Team Sports,Bronze
1972,Russia,Basketball,Team Sports,Gold
2012,Kazakhstan,Boxing,Combat Sports,Bronze
1996,Russia,Rowing,Paddling Sports,Bronze
2000,Russia,Rowing,Paddling Sports,
2004,Russia,Rowing,Paddling Sports,
1994,Kazakhstan,Cross Country Skiing,Skiing Events,
1994,Kazakhstan,Cross Country Skiing,Skiing Events,
1994,Kazakhstan,Cross Country Skiing,Skiing Events,
1994,Kazakhstan,Cross Country Skiing,Skiing Events,
1994,Kazakhstan,Cross Country Skiing,Skiing Events,
1998,Kazakhstan,Cross Country Skiing,Skiing Events,
2002,Kazakhstan,Cross Country Skiing,Skiing Events,
2002,Kazakhstan,Cross Country Skiing,Skiing Events,
2002,Kazakhstan,Cross Country Skiing,Skiing Events,
2002,Kazakhstan,Cross Country Skiing,Skiing Events,
2006,Kazakhstan,Cross Country Skiing,Skiing Events,
2010,Kazakhstan,Cross Country Skiing,Skiing Events,
1996,Ukraine,Diving,Aquatics,
1996,Ukraine,Diving,Aquatics,
2000,Ukraine,Diving,Aquatics,
2000,Ukraine,Diving,Aquatics,
2004,Ukraine,Diving,Aquatics,
2004,Ukraine,Diving,Aquatics,
1996,Ukraine,Water Polo,Team Sports,
2008,Ukraine,Diving,Aquatics,
2006,Kazakhstan,Cross Country Skiing,Skiing Events,
2006,Kazakhstan,Cross Country Skiing,Skiing Events,
2006,Kazakhstan,Cross Country Skiing,Skiing Events,
1988,Russia,Athletics,Multi-Discipline,
1992,Russia,Athletics,Multi-Discipline,
2016,Ukraine,Synchronized Swimming,Aquatics,
2016,Ukraine,Synchronized Swimming,Aquatics,
2012,Russia,Wrestling,Combat Sports,Bronze
2006,Ukraine,Figure Skating,Skating,
2010,Ukraine,Figure Skating,Skating,
2014,Russia,Figure Skating,Skating,Gold
2014,Russia,Figure Skating,Skating,Gold
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
2014,Kazakhstan,Cross Country Skiing,Skiing Events,
1984,Russia,Figure Skating,Skating,
2008,Lithuania,Sailing,Water Sports,Silver
2012,Lithuania,Sailing,Water Sports,
2016,Lithuania,Sailing,Water Sports,
2016,Russia,Volleyball,Team Sports,
2000,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
2014,Russia,Cross Country Skiing,Skiing Events,
1912,Russia,Modern Pentathlon,Multi-Discipline,
1936,Estonia,Sailing,Water Sports,
1912,Russia,Swimming,Aquatics,
1912,Russia,Equestrianism,Equestrianism,
1928,Estonia,Sailing,Water Sports,Bronze
1960,Estonia,Swimming,Aquatics,
1960,Estonia,Swimming,Aquatics,
1980,Belarus,Athletics,Multi-Discipline,
2008,Ukraine,Gymnastics,Gymnastics,
2008,Ukraine,Gymnastics,Gymnastics,Bronze
1994,Russia,Cross Country Skiing,Skiing Events,
1952,Russia,Weightlifting,Miscellaneous,Bronze
1956,Russia,Weightlifting,Miscellaneous,Gold
1960,Russia,Weightlifting,Miscellaneous,Gold
1972,Russia,Rowing,Paddling Sports,
2002,Belarus,Cross Country Skiing,Skiing Events,
2002,Belarus,Cross Country Skiing,Skiing Events,
2002,Belarus,Cross Country Skiing,Skiing Events,
1960,Russia,Athletics,Multi-Discipline,
1994,Belarus,Freestyle Skiing,Skiing Events,
1998,Belarus,Freestyle Skiing,Skiing Events,
1976,Russia,Figure Skating,Skating,
2012,Russia,Wrestling,Combat Sports,Gold
2016,Russia,Wrestling,Combat Sports,Silver
1996,Kazakhstan,Athletics,Multi-Discipline,
1992,Russia,Figure Skating,Skating,
1998,Azerbaijan,Figure Skating,Skating,
1976,Russia,Athletics,Multi-Discipline,
2004,Belarus,Rowing,Paddling Sports,
1998,Russia,Freestyle Skiing,Skiing Events,
2002,Russia,Freestyle Skiing,Skiing Events,
1964,Russia,Cross Country Skiing,Skiing Events,
1964,Russia,Cross Country Skiing,Skiing Events,Bronze
1964,Russia,Cross Country Skiing,Skiing Events,
1964,Russia,Cross Country Skiing,Skiing Events,Bronze
1968,Russia,Cross Country Skiing,Skiing Events,
1976,Russia,Weightlifting,Miscellaneous,Gold
1960,Russia,Speed Skating,Skating,
1960,Russia,Speed Skating,Skating,
1996,Russia,Handball,Team Sports,
2000,Russia,Handball,Team Sports,Gold
1968,Russia,Gymnastics,Gymnastics,Silver
1968,Russia,Gymnastics,Gymnastics,Silver
1968,Russia,Gymnastics,Gymnastics,
1968,Russia,Gymnastics,Gymnastics,Gold
1968,Russia,Gymnastics,Gymnastics,Silver
1968,Russia,Gymnastics,Gymnastics,Gold
1968,Russia,Gymnastics,Gymnastics,Silver
1968,Russia,Gymnastics,Gymnastics,Bronze
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,Silver
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,
1972,Russia,Gymnastics,Gymnastics,Silver
1972,Russia,Gymnastics,Gymnastics,
2000,Russia,Athletics,Multi-Discipline,
2004,Russia,Athletics,Multi-Discipline,
2008,Russia,Athletics,Multi-Discipline,
2016,Ukraine,Fencing,Miscellaneous,Silver
2012,Russia,Trampolining,Gymnastics,
2016,Uzbekistan,Athletics,Multi-Discipline,
1968,Russia,Gymnastics,Gymnastics,Silver
1968,Russia,Gymnastics,Gymnastics,Gold
1968,Russia,Gymnastics,Gymnastics,
1968,Russia,Gymnastics,Gymnastics,Bronze
1968,Russia,Gymnastics,Gymnastics,Bronze
1968,Russia,Gymnastics,Gymnastics,
2004,Russia,Athletics,Multi-Discipline,
2000,Ukraine,Athletics,Multi-Discipline,
2012,Belarus,Football,Team Sports,
1912,Russia,Swimming,Aquatics,
1968,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,
1968,Russia,Cross Country Skiing,Skiing Events,
1972,Russia,Cross Country Skiing,Skiing Events,
1972,Russia,Cross Country Skiing,Skiing Events,Gold
2016,Russia,Volleyball,Team Sports,
1996,Belarus,Athletics,Multi-Discipline,
2014,Uzbekistan,Alpine Skiing,Skiing Events,
2014,Uzbekistan,Alpine Skiing,Skiing Events,
2012,Russia,Basketball,Team Sports,Bronze
2012,Estonia,Shooting,Target Sports,
2012,Estonia,Shooting,Target Sports,
2008,Kazakhstan,Rowing,Paddling Sports,
2008,Russia,Basketball,Team Sports,
2004,Russia,Water Polo,Team Sports,
2008,Russia,Water Polo,Team Sports,
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,Gold
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,
1996,Russia,Gymnastics,Gymnastics,
1996,Russia,Gymnastics,Gymnastics,Gold
1996,Russia,Gymnastics,Gymnastics,
1996,Russia,Gymnastics,Gymnastics,
1996,Russia,Gymnastics,Gymnastics,
1996,Russia,Gymnastics,Gymnastics,
1996,Russia,Gymnastics,Gymnastics,
1996,Russia,Gymnastics,Gymnastics,
1988,Russia,Fencing,Miscellaneous,
1988,Russia,Fencing,Miscellaneous,
1992,Russia,Fencing,Miscellaneous,
2000,Armenia,Judo,Combat Sports,
2012,Kazakhstan,Tennis,Racquet Sports,
2012,Kazakhstan,Tennis,Racquet Sports,
2016,Kazakhstan,Tennis,Racquet Sports,
1964,Russia,Volleyball,Team Sports,Gold
1994,Russia,Speed Skating,Skating,
1994,Russia,Speed Skating,Skating,
1996,Estonia,Fencing,Miscellaneous,
1996,Estonia,Fencing,Miscellaneous,
1994,Latvia,Luge,Sliding,
1994,Latvia,Luge,Sliding,
1998,Latvia,Luge,Sliding,
2006,Russia,Bobsleigh,Sliding,
2006,Russia,Bobsleigh,Sliding,Silver
2010,Russia,Bobsleigh,Sliding,Bronze
2014,Russia,Bobsleigh,Sliding,Gold
2014,Russia,Bobsleigh,Sliding,Gold
2004,Russia,Athletics,Multi-Discipline,Bronze
2004,Russia,Athletics,Multi-Discipline,
1912,Russia,Shooting,Target Sports,
1912,Russia,Shooting,Target Sports,
1912,Russia,Shooting,Target Sports,
1912,Russia,Shooting,Target Sports,Silver
1996,Uzbekistan,Athletics,Multi-Discipline,
2000,Uzbekistan,Athletics,Multi-Discipline,
2004,Uzbekistan,Athletics,Multi-Discipline,
2014,Russia,Ice Hockey,Skating,
2016,Russia,Cycling,Cycling,
2016,Russia,Cycling,Cycling,
2016,Russia,Cycling,Cycling,Silver
2000,Uzbekistan,Swimming,Aquatics,
2012,Russia,Beach Volleyball,Team Sports,
2016,Ukraine,Rhythmic Gymnastics,Gymnastics,
1956,Russia,Equestrianism,Equestrianism,
1956,Russia,Equestrianism,Equestrianism,
2004,Russia,Swimming,Aquatics,
2004,Russia,Swimming,Aquatics,
2004,Russia,Swimming,Aquatics,
2008,Russia,Swimming,Aquatics,Bronze
2008,Russia,Swimming,Aquatics,Bronze
2008,Russia,Swimming,Aquatics,
2012,Russia,Swimming,Aquatics,
2012,Russia,Swimming,Aquatics,
2016,Russia,Handball,Team Sports,Gold
2016,Belarus,Athletics,Multi-Discipline,
1996,Russia,Boxing,Combat Sports,
1996,Ukraine,Fencing,Miscellaneous,
1996,Kazakhstan,Diving,Aquatics,
1996,Kazakhstan,Diving,Aquatics,
2000,Kazakhstan,Diving,Aquatics,
2000,Kazakhstan,Diving,Aquatics,
1956,Russia,Wrestling,Combat Sports,
2010,Russia,Cross Country Skiing,Skiing Events,
2010,Russia,Cross Country Skiing,Skiing Events,
2010,Russia,Cross Country Skiing,Skiing Events,
2010,Russia,Cross Country Skiing,Skiing Events,
2014,Russia,Cross Country Skiing,Skiing Events,Silver
2014,Russia,Cross Country Skiing,Skiing Events,
2014,Russia,Cross Country Skiing,Skiing Events,Silver
2014,Russia,Cross Country Skiing,Skiing Events,Silver
2008,Russia,Water Polo,Team Sports,
2008,Ukraine,Athletics,Multi-Discipline,
2016,Ukraine,Athletics,Multi-Discipline,
2008,Ukraine,Cycling,Cycling,
2004,Ukraine,Cycling,Cycling,
1956,Russia,Wrestling,Combat Sports,Gold
1960,Russia,Wrestling,Combat Sports,Bronze
1988,Belarus,Rowing,Paddling Sports,
1952,Russia,Fencing,Miscellaneous,
1996,Lithuania,Weightlifting,Miscellaneous,
2000,Lithuania,Weightlifting,Miscellaneous,
2004,Lithuania,Weightlifting,Miscellaneous,
2008,Lithuania,Weightlifting,Miscellaneous,
1998,Russia,Speed Skating,Skating,
1998,Russia,Speed Skating,Skating,
2006,Russia,Speed Skating,Skating,
2006,Russia,Speed Skating,Skating,Bronze
2010,Russia,Speed Skating,Skating,
2010,Russia,Speed Skating,Skating,
2008,Ukraine,Cycling,Cycling,
1988,Ukraine,Rowing,Paddling Sports,
1980,Russia,Hockey,Miscellaneous,Bronze
2008,Lithuania,Cycling,Cycling,
2014,Russia,Snowboarding,Skiing Events,Gold
2014,Russia,Snowboarding,Skiing Events,Gold
1912,Russia,Modern Pentathlon,Multi-Discipline,
2000,Azerbaijan,Swimming,Aquatics,
2000,Azerbaijan,Boxing,Combat Sports,
2004,Azerbaijan,Boxing,Combat Sports,
2012,Azerbaijan,Weightlifting,Miscellaneous,Bronze
1998,Russia,Figure Skating,Skating,
2002,Russia,Figure Skating,Skating,Gold
2016,Ukraine,Fencing,Miscellaneous,
1996,Russia,Swimming,Aquatics,
2000,Russia,Swimming,Aquatics,
